country,year,pop,continent,lifeExp,gdpPercap
Cambodia,1997,11782962,Asia,56.534,734.28517
Cambodia,2002,12926707,Asia,56.752,896.2260153
Cambodia,2007,14131858,Asia,59.723,1713.778686
Cameroon,1992,12467171,Africa,54.314,1793.163278
Cameroon,1997,14195809,Africa,52.199,1694.337469
Cameroon,2002,15929988,Africa,49.856,1934.011449
Cameroon,2007,17696293,Africa,50.43,2042.09524
Canada,1992,28523502,Americas,77.95,26342.88426
Canada,1997,30305843,Americas,78.61,28954.92589
Canada,2002,31902268,Americas,79.77,33328.96507
Canada,2007,33390141,Americas,80.653,36319.23501
Central African Republic,1992,3265124,Africa,49.396,747.9055252
Central African Republic,1997,3696513,Africa,46.066,740.5063317
Central African Republic,2002,4048013,Africa,43.308,738.6906068
Central African Republic,2007,4369038,Africa,44.741,706.016537
Chad,1992,6429417,Africa,51.724,1058.0643
Chad,1997,7562011,Africa,51.573,1004.961353
Chad,2002,8835739,Africa,50.525,1156.18186
Chad,2007,10238807,Africa,50.651,1704.063724
Chile,1992,13572994,Americas,74.126,7596.125964
Chile,1997,14599929,Americas,75.816,10118.05318
Chile,2002,15497046,Americas,77.86,10778.78385
Chile,2007,16284741,Americas,78.553,13171.63885
China,1992,1164970000,Asia,68.69,1655.784158
China,1997,1230075000,Asia,70.426,2289.234136
China,2002,1280400000,Asia,72.028,3119.280896
China,2007,1318683096,Asia,72.961,4959.114854
Colombia,1992,34202721,Americas,68.421,5444.648617
Colombia,1997,37657830,Americas,70.313,6117.361746
Colombia,2002,41008227,Americas,71.682,5755.259962
Colombia,2007,44227550,Americas,72.889,7006.580419
Comoros,1992,454429,Africa,57.939,1246.90737
Comoros,1997,527982,Africa,60.66,1173.618235
Comoros,2002,614382,Africa,62.974,1075.811558
Comoros,2007,710960,Africa,65.152,986.1478792
Congo Dem. Rep.,1992,41672143,Africa,45.548,457.7191807
Congo Dem. Rep.,1997,47798986,Africa,42.587,312.188423
Congo Dem. Rep.,2002,55379852,Africa,44.966,241.1658765
Congo Dem. Rep.,2007,64606759,Africa,46.462,277.5518587
Congo Rep.,1992,2409073,Africa,56.433,4016.239529
Congo Rep.,1997,2800947,Africa,52.962,3484.164376
Congo Rep.,2002,3328795,Africa,52.97,3484.06197
Congo Rep.,2007,3800610,Africa,55.322,3632.557798
Costa Rica,1992,3173216,Americas,75.713,6160.416317
Costa Rica,1997,3518107,Americas,77.26,6677.045314
Costa Rica,2002,3834934,Americas,78.123,7723.447195
Costa Rica,2007,4133884,Americas,78.782,9645.06142
Cote d'Ivoire,1992,12772596,Africa,52.044,1648.073791
Cote d'Ivoire,1997,14625967,Africa,47.991,1786.265407
Cote d'Ivoire,2002,16252726,Africa,46.832,1648.800823
Cote d'Ivoire,2007,18013409,Africa,48.328,1544.750112
Croatia,1992,4494013,Europe,72.527,8447.794873
Croatia,1997,4444595,Europe,73.68,9875.604515
Croatia,2002,4481020,Europe,74.876,11628.38895
Croatia,2007,4493312,Europe,75.748,14619.22272
Cuba,1992,10723260,Americas,74.414,5592.843963
Cuba,1997,10983007,Americas,76.151,5431.990415
Cuba,2002,11226999,Americas,77.158,6340.646683
Cuba,2007,11416987,Americas,78.273,8948.102923
Czech Republic,1992,10315702,Europe,72.4,14297.02122
Czech Republic,1997,10300707,Europe,74.01,16048.51424
Czech Republic,2002,10256295,Europe,75.51,17596.21022
Czech Republic,2007,10228744,Europe,76.486,22833.30851
Denmark,1992,5171393,Europe,75.33,26406.73985
Denmark,1997,5283663,Europe,76.11,29804.34567
Denmark,2002,5374693,Europe,77.18,32166.50006
Denmark,2007,5468120,Europe,78.332,35278.41874
Djibouti,1992,384156,Africa,51.604,2377.156192
Djibouti,1997,417908,Africa,53.157,1895.016984
Djibouti,2002,447416,Africa,53.373,1908.260867
Djibouti,2007,496374,Africa,54.791,2082.481567
Dominican Republic,1992,7351181,Americas,68.457,3044.214214
Dominican Republic,1997,7992357,Americas,69.957,3614.101285
Dominican Republic,2002,8650322,Americas,70.847,4563.808154
Dominican Republic,2007,9319622,Americas,72.235,6025.374752
Ecuador,1992,10748394,Americas,69.613,7103.702595
Ecuador,1997,11911819,Americas,72.312,7429.455877
Ecuador,2002,12921234,Americas,74.173,5773.044512
Ecuador,2007,13755680,Americas,74.994,6873.262326
Egypt,1992,59402198,Africa,63.674,3794.755195
Egypt,1997,66134291,Africa,67.217,4173.181797
Egypt,2002,73312559,Africa,69.806,4754.604414
Egypt,2007,80264543,Africa,71.338,5581.180998
El Salvador,1992,5274649,Americas,66.798,4444.2317
El Salvador,1997,5783439,Americas,69.535,5154.825496
El Salvador,2002,6353681,Americas,70.734,5351.568666
El Salvador,2007,6939688,Americas,71.878,5728.353514
Equatorial Guinea,1992,387838,Africa,47.545,1132.055034
Equatorial Guinea,1997,439971,Africa,48.245,2814.480755
Equatorial Guinea,2002,495627,Africa,49.348,7703.4959
Equatorial Guinea,2007,551201,Africa,51.579,12154.08975
Eritrea,1992,3668440,Africa,49.991,582.8585102
Eritrea,1997,4058319,Africa,53.378,913.47079
Eritrea,2002,4414865,Africa,55.24,765.3500015
Eritrea,2007,4906585,Africa,58.04,641.3695236
Ethiopia,1992,52088559,Africa,48.091,421.3534653
Ethiopia,1997,59861301,Africa,49.402,515.8894013
Ethiopia,2002,67946797,Africa,50.725,530.0535319
Ethiopia,2007,76511887,Africa,52.947,690.8055759
Finland,1992,5041039,Europe,75.7,20647.16499
Finland,1997,5134406,Europe,77.13,23723.9502
Finland,2002,5193039,Europe,78.37,28204.59057
Finland,2007,5238460,Europe,79.313,33207.0844
France,1992,57374179,Europe,77.46,24703.79615
France,1997,58623428,Europe,78.64,25889.78487
France,2002,59925035,Europe,79.59,28926.03234
France,2007,61083916,Europe,80.657,30470.0167
Gabon,1992,985739,Africa,61.366,13522.15752
Gabon,1997,1126189,Africa,60.461,14722.84188
Gabon,2002,1299304,Africa,56.761,12521.71392
Gabon,2007,1454867,Africa,56.735,13206.48452
Gambia,1992,1025384,Africa,52.644,665.6244126
Gambia,1997,1235767,Africa,55.861,653.7301704
Gambia,2002,1457766,Africa,58.041,660.5855997
Gambia,2007,1688359,Africa,59.448,752.7497265
Germany,1992,80597764,Europe,76.07,26505.30317
Germany,1997,82011073,Europe,77.34,27788.88416
Germany,2002,82350671,Europe,78.67,30035.80198
Germany,2007,82400996,Europe,79.406,32170.37442
Ghana,1992,16278738,Africa,57.501,925.060154
Ghana,1997,18418288,Africa,58.556,1005.245812
Ghana,2002,20550751,Africa,58.453,1111.984578
Ghana,2007,22873338,Africa,60.022,1327.60891
Greece,1992,10325429,Europe,77.03,17541.49634
Greece,1997,10502372,Europe,77.869,18747.69814
Greece,2002,10603863,Europe,78.256,22514.2548
Greece,2007,10706290,Europe,79.483,27538.41188
Guatemala,1992,8486949,Americas,63.373,4439.45084
Guatemala,1997,9803875,Americas,66.322,4684.313807
Guatemala,2002,11178650,Americas,68.978,4858.347495
Guatemala,2007,12572928,Americas,70.259,5186.050003
Guinea,1992,6990574,Africa,48.576,794.3484384
Guinea,1997,8048834,Africa,51.455,869.4497668
Guinea,2002,8807818,Africa,53.676,945.5835837
Guinea,2007,9947814,Africa,56.007,942.6542111
Guinea-Bissau,1992,1050938,Africa,43.266,745.5398706
Guinea-Bissau,1997,1193708,Africa,44.873,796.6644681
Guinea-Bissau,2002,1332459,Africa,45.504,575.7047176
Guinea-Bissau,2007,1472041,Africa,46.388,579.231743
Haiti,1992,6326682,Americas,55.089,1456.309517
Haiti,1997,6913545,Americas,56.671,1341.726931
Haiti,2002,7607651,Americas,58.137,1270.364932
Haiti,2007,8502814,Americas,60.916,1201.637154
Honduras,1992,5077347,Americas,66.399,3081.694603
Honduras,1997,5867957,Americas,67.659,3160.454906
Honduras,2002,6677328,Americas,68.565,3099.72866
Honduras,2007,7483763,Americas,70.198,3548.330846
Hong Kong China,1992,5829696,Asia,77.601,24757.60301
Hong Kong China,1997,6495918,Asia,80,28377.63219
Hong Kong China,2002,6762476,Asia,81.495,30209.01516
Hong Kong China,2007,6980412,Asia,82.208,39724.97867
Hungary,1992,10348684,Europe,69.17,10535.62855
Hungary,1997,10244684,Europe,71.04,11712.7768
Hungary,2002,10083313,Europe,72.59,14843.93556
Hungary,2007,9956108,Europe,73.338,18008.94444
Iceland,1992,259012,Europe,78.77,25144.39201
Iceland,1997,271192,Europe,78.95,28061.09966
Iceland,2002,288030,Europe,80.5,31163.20196
Iceland,2007,301931,Europe,81.757,36180.78919
India,1992,8.72e+08,Asia,60.223,1164.406809
India,1997,9.59e+08,Asia,61.765,1458.817442
India,2002,1034172547,Asia,62.879,1746.769454
India,2007,1110396331,Asia,64.698,2452.210407
Indonesia,1992,184816000,Asia,62.681,2383.140898
Indonesia,1997,199278000,Asia,66.041,3119.335603
Indonesia,2002,211060000,Asia,68.588,2873.91287
Indonesia,2007,223547000,Asia,70.65,3540.651564
Iran,1992,60397973,Asia,65.742,7235.653188
Iran,1997,63327987,Asia,68.042,8263.590301
Iran,2002,66907826,Asia,69.451,9240.761975
Iran,2007,69453570,Asia,70.964,11605.71449
Iraq,1992,17861905,Asia,59.461,3745.640687
Iraq,1997,20775703,Asia,58.811,3076.239795
Iraq,2002,24001816,Asia,57.046,4390.717312
Iraq,2007,27499638,Asia,59.545,4471.061906
Ireland,1992,3557761,Europe,75.467,17558.81555
Ireland,1997,3667233,Europe,76.122,24521.94713
Ireland,2002,3879155,Europe,77.783,34077.04939
Ireland,2007,4109086,Europe,78.885,40675.99635
Israel,1992,4936550,Asia,76.93,18051.52254
Israel,1997,5531387,Asia,78.269,20896.60924
Israel,2002,6029529,Asia,79.696,21905.59514
Israel,2007,6426679,Asia,80.745,25523.2771
Italy,1992,56840847,Europe,77.44,22013.64486
Italy,1997,57479469,Europe,78.82,24675.02446
Italy,2002,57926999,Europe,80.24,27968.09817
Italy,2007,58147733,Europe,80.546,28569.7197
Jamaica,1992,2378618,Americas,71.766,7404.923685
Jamaica,1997,2531311,Americas,72.262,7121.924704
Jamaica,2002,2664659,Americas,72.047,6994.774861
Jamaica,2007,2780132,Americas,72.567,7320.880262
Japan,1992,124329269,Asia,79.36,26824.89511
Japan,1997,125956499,Asia,80.69,28816.58499
Japan,2002,127065841,Asia,82,28604.5919
Japan,2007,127467972,Asia,82.603,31656.06806
Jordan,1992,3867409,Asia,68.015,3431.593647
Jordan,1997,4526235,Asia,69.772,3645.379572
Jordan,2002,5307470,Asia,71.263,3844.917194
Jordan,2007,6053193,Asia,72.535,4519.461171
Kenya,1992,25020539,Africa,59.285,1341.921721
Kenya,1997,28263827,Africa,54.407,1360.485021
Kenya,2002,31386842,Africa,50.992,1287.514732
Kenya,2007,35610177,Africa,54.11,1463.249282
Korea Dem. Rep.,1992,20711375,Asia,69.978,3726.063507
Korea Dem. Rep.,1997,21585105,Asia,67.727,1690.756814
Korea Dem. Rep.,2002,22215365,Asia,66.662,1646.758151
Korea Dem. Rep.,2007,23301725,Asia,67.297,1593.06548
Korea Rep.,1992,43805450,Asia,72.244,12104.27872
Korea Rep.,1997,46173816,Asia,74.647,15993.52796
Korea Rep.,2002,47969150,Asia,77.045,19233.98818
Korea Rep.,2007,49044790,Asia,78.623,23348.13973
Kuwait,1992,1418095,Asia,75.19,34932.91959
Kuwait,1997,1765345,Asia,76.156,40300.61996
Kuwait,2002,2111561,Asia,76.904,35110.10566
Kuwait,2007,2505559,Asia,77.588,47306.98978
Lebanon,1992,3219994,Asia,69.292,6890.806854
Lebanon,1997,3430388,Asia,70.265,8754.96385
Lebanon,2002,3677780,Asia,71.028,9313.93883
Lebanon,2007,3921278,Asia,71.993,10461.05868
Lesotho,1992,1803195,Africa,59.685,977.4862725
Lesotho,1997,1982823,Africa,55.558,1186.147994
Lesotho,2002,2046772,Africa,44.593,1275.184575
Lesotho,2007,2012649,Africa,42.592,1569.331442
Liberia,1992,1912974,Africa,40.802,636.6229191
Liberia,1997,2200725,Africa,42.221,609.1739508
Liberia,2002,2814651,Africa,43.753,531.4823679
Liberia,2007,3193942,Africa,45.678,414.5073415
Libya,1992,4364501,Africa,68.755,9640.138501
Libya,1997,4759670,Africa,71.555,9467.446056
Libya,2002,5368585,Africa,72.737,9534.677467
Libya,2007,6036914,Africa,73.952,12057.49928
Madagascar,1992,12210395,Africa,52.214,1040.67619
Madagascar,1997,14165114,Africa,54.978,986.2958956
Madagascar,2002,16473477,Africa,57.286,894.6370822
Madagascar,2007,19167654,Africa,59.443,1044.770126
Malawi,1992,10014249,Africa,49.42,563.2000145
Malawi,1997,10419991,Africa,47.495,692.2758103
Malawi,2002,11824495,Africa,45.009,665.4231186
Malawi,2007,13327079,Africa,48.303,759.3499101
Malaysia,1992,18319502,Asia,70.693,7277.912802
Malaysia,1997,20476091,Asia,71.938,10132.90964
Malaysia,2002,22662365,Asia,73.044,10206.97794
Malaysia,2007,24821286,Asia,74.241,12451.6558
Mali,1992,8416215,Africa,48.388,739.014375
Mali,1997,9384984,Africa,49.903,790.2579846
Mali,2002,10580176,Africa,51.818,951.4097518
Mali,2007,12031795,Africa,54.467,1042.581557
Mauritania,1992,2119465,Africa,58.333,1361.369784
Mauritania,1997,2444741,Africa,60.43,1483.136136
Mauritania,2002,2828858,Africa,62.247,1579.019543
Mauritania,2007,3270065,Africa,64.164,1803.151496
Mauritius,1992,1096202,Africa,69.745,6058.253846
Mauritius,1997,1149818,Africa,70.736,7425.705295
Mauritius,2002,1200206,Africa,71.954,9021.815894
Mauritius,2007,1250882,Africa,72.801,10956.99112
Mexico,1992,88111030,Americas,71.455,9472.384295
Mexico,1997,95895146,Americas,73.67,9767.29753
Mexico,2002,102479927,Americas,74.902,10742.44053
Mexico,2007,108700891,Americas,76.195,11977.57496
Mongolia,1992,2312802,Asia,61.271,1785.402016
Mongolia,1997,2494803,Asia,63.625,1902.2521
Mongolia,2002,2674234,Asia,65.033,2140.739323
Mongolia,2007,2874127,Asia,66.803,3095.772271
Montenegro,1992,621621,Europe,75.435,7003.339037
Montenegro,1997,692651,Europe,75.445,6465.613349
Montenegro,2002,720230,Europe,73.981,6557.194282
Montenegro,2007,684736,Europe,74.543,9253.896111
Morocco,1992,25798239,Africa,65.393,2948.047252
Morocco,1997,28529501,Africa,67.66,2982.101858
Morocco,2002,31167783,Africa,69.615,3258.495584
Morocco,2007,33757175,Africa,71.164,3820.17523
Mozambique,1992,13160731,Africa,44.284,410.8968239
Mozambique,1997,16603334,Africa,46.344,472.3460771
Mozambique,2002,18473780,Africa,44.026,633.6179466
Mozambique,2007,19951656,Africa,42.082,823.6856205
Myanmar,1992,40546538,Asia,59.32,347
Myanmar,1997,43247867,Asia,60.328,415
Myanmar,2002,45598081,Asia,59.908,611
Myanmar,2007,47761980,Asia,62.069,944
Namibia,1992,1554253,Africa,61.999,3804.537999
Namibia,1997,1774766,Africa,58.909,3899.52426
Namibia,2002,1972153,Africa,51.479,4072.324751
Namibia,2007,2055080,Africa,52.906,4811.060429
Nepal,1992,20326209,Asia,55.727,897.7403604
Nepal,1997,23001113,Asia,59.426,1010.892138
Nepal,2002,25873917,Asia,61.34,1057.206311
Nepal,2007,28901790,Asia,63.785,1091.359778
Netherlands,1992,15174244,Europe,77.42,26790.94961
Netherlands,1997,15604464,Europe,78.03,30246.13063
Netherlands,2002,16122830,Europe,78.53,33724.75778
Netherlands,2007,16570613,Europe,79.762,36797.93332
New Zealand,1992,3437674,Oceania,76.33,18363.32494
New Zealand,1997,3676187,Oceania,77.55,21050.41377
New Zealand,2002,3908037,Oceania,79.11,23189.80135
New Zealand,2007,4115771,Oceania,80.204,25185.00911
Nicaragua,1992,4017939,Americas,65.843,2170.151724
Nicaragua,1997,4609572,Americas,68.426,2253.023004
Nicaragua,2002,5146848,Americas,70.836,2474.548819
Nicaragua,2007,5675356,Americas,72.899,2749.320965
Niger,1992,8392818,Africa,47.391,581.182725
Niger,1997,9666252,Africa,51.313,580.3052092
Niger,2002,11140655,Africa,54.496,601.0745012
Niger,2007,12894865,Africa,56.867,619.6768924
Nigeria,1992,93364244,Africa,47.472,1619.848217
Nigeria,1997,106207839,Africa,47.464,1624.941275
Nigeria,2002,119901274,Africa,46.608,1615.286395
Nigeria,2007,135031164,Africa,46.859,2013.977305
Norway,1992,4286357,Europe,77.32,33965.66115
Norway,1997,4405672,Europe,78.32,41283.16433
Norway,2002,4535591,Europe,79.05,44683.97525
Norway,2007,4627926,Europe,80.196,49357.19017
Oman,1992,1915208,Asia,71.197,18616.70691
Oman,1997,2283635,Asia,72.499,19702.05581
Oman,2002,2713462,Asia,74.193,19774.83687
Oman,2007,3204897,Asia,75.64,22316.19287
Pakistan,1992,120065004,Asia,60.838,1971.829464
Pakistan,1997,135564834,Asia,61.818,2049.350521
Pakistan,2002,153403524,Asia,63.61,2092.712441
Pakistan,2007,169270617,Asia,65.483,2605.94758
Panama,1992,2484997,Americas,72.462,6618.74305
Panama,1997,2734531,Americas,73.738,7113.692252
Panama,2002,2990875,Americas,74.712,7356.031934
Panama,2007,3242173,Americas,75.537,9809.185636
Paraguay,1992,4483945,Americas,68.225,4196.411078
Paraguay,1997,5154123,Americas,69.4,4247.400261
Paraguay,2002,5884491,Americas,70.755,3783.674243
Paraguay,2007,6667147,Americas,71.752,4172.838464
Peru,1992,22430449,Americas,66.458,4446.380924
Peru,1997,24748122,Americas,68.386,5838.347657
Peru,2002,26769436,Americas,69.906,5909.020073
Peru,2007,28674757,Americas,71.421,7408.905561
Philippines,1992,67185766,Asia,66.458,2279.324017
Philippines,1997,75012988,Asia,68.564,2536.534925
Philippines,2002,82995088,Asia,70.303,2650.921068
Philippines,2007,91077287,Asia,71.688,3190.481016
Poland,1992,38370697,Europe,70.99,7738.881247
Poland,1997,38654957,Europe,72.75,10159.58368
Poland,2002,38625976,Europe,74.67,12002.23908
Poland,2007,38518241,Europe,75.563,15389.92468
Portugal,1992,9927680,Europe,74.86,16207.26663
Portugal,1997,10156415,Europe,75.97,17641.03156
Portugal,2002,10433867,Europe,77.29,19970.90787
Portugal,2007,10642836,Europe,78.098,20509.64777
Puerto Rico,1992,3585176,Americas,73.911,14641.58711
Puerto Rico,1997,3759430,Americas,74.917,16999.4333
Puerto Rico,2002,3859606,Americas,77.778,18855.60618
Puerto Rico,2007,3942491,Americas,78.746,19328.70901
Reunion,1992,622191,Africa,73.615,6101.255823
Reunion,1997,684810,Africa,74.772,6071.941411
Reunion,2002,743981,Africa,75.744,6316.1652
Reunion,2007,798094,Africa,76.442,7670.122558
Romania,1992,22797027,Europe,69.36,6598.409903
Romania,1997,22562458,Europe,69.72,7346.547557
Romania,2002,22404337,Europe,71.322,7885.360081
Romania,2007,22276056,Europe,72.476,10808.47561
Rwanda,1992,7290203,Africa,23.599,737.0685949
Rwanda,1997,7212583,Africa,36.087,589.9445051
Rwanda,2002,7852401,Africa,43.413,785.6537648
Rwanda,2007,8860588,Africa,46.242,863.0884639
Sao Tome and Principe,1992,125911,Africa,62.742,1428.777814
Sao Tome and Principe,1997,145608,Africa,63.306,1339.076036
Sao Tome and Principe,2002,170372,Africa,64.337,1353.09239
Sao Tome and Principe,2007,199579,Africa,65.528,1598.435089
Saudi Arabia,1992,16945857,Asia,68.768,24841.61777
Saudi Arabia,1997,21229759,Asia,70.533,20586.69019
Saudi Arabia,2002,24501530,Asia,71.626,19014.54118
Saudi Arabia,2007,27601038,Asia,72.777,21654.83194
Senegal,1992,8307920,Africa,58.196,1367.899369
Senegal,1997,9535314,Africa,60.187,1392.368347
Senegal,2002,10870037,Africa,61.6,1519.635262
Senegal,2007,12267493,Africa,63.062,1712.472136
Serbia,1992,9826397,Europe,71.659,9325.068238
Serbia,1997,10336594,Europe,72.232,7914.320304
Serbia,2002,10111559,Europe,73.213,7236.075251
Serbia,2007,10150265,Europe,74.002,9786.534714
Sierra Leone,1992,4260884,Africa,38.333,1068.696278
Sierra Leone,1997,4578212,Africa,39.897,574.6481576
Sierra Leone,2002,5359092,Africa,41.012,699.489713
Sierra Leone,2007,6144562,Africa,42.568,862.5407561
Singapore,1992,3235865,Asia,75.788,24769.8912
Singapore,1997,3802309,Asia,77.158,33519.4766
Singapore,2002,4197776,Asia,78.77,36023.1054
Singapore,2007,4553009,Asia,79.972,47143.17964
Slovak Republic,1992,5302888,Europe,71.38,9498.467723
Slovak Republic,1997,5383010,Europe,72.71,12126.23065
Slovak Republic,2002,5410052,Europe,73.8,13638.77837
Slovak Republic,2007,5447502,Europe,74.663,18678.31435
Slovenia,1992,1999210,Europe,73.64,14214.71681
Slovenia,1997,2011612,Europe,75.13,17161.10735
Slovenia,2002,2011497,Europe,76.66,20660.01936
Slovenia,2007,2009245,Europe,77.926,25768.25759
Somalia,1992,6099799,Africa,39.658,926.9602964
Somalia,1997,6633514,Africa,43.795,930.5964284
Somalia,2002,7753310,Africa,45.936,882.0818218
Somalia,2007,9118773,Africa,48.159,926.1410683
South Africa,1992,39964159,Africa,61.888,7225.069258
South Africa,1997,42835005,Africa,60.236,7479.188244
South Africa,2002,44433622,Africa,53.365,7710.946444
South Africa,2007,43997828,Africa,49.339,9269.657808
Spain,1992,39549438,Europe,77.57,18603.06452
Spain,1997,39855442,Europe,78.77,20445.29896
Spain,2002,40152517,Europe,79.78,24835.47166
Spain,2007,40448191,Europe,80.941,28821.0637
Sri Lanka,1992,17587060,Asia,70.379,2153.739222
Sri Lanka,1997,18698655,Asia,70.457,2664.477257
Sri Lanka,2002,19576783,Asia,70.815,3015.378833
Sri Lanka,2007,20378239,Asia,72.396,3970.095407
Sudan,1992,28227588,Africa,53.556,1492.197043
Sudan,1997,32160729,Africa,55.373,1632.210764
Sudan,2002,37090298,Africa,56.369,1993.398314
Sudan,2007,42292929,Africa,58.556,2602.394995
Swaziland,1992,962344,Africa,58.474,3553.0224
Swaziland,1997,1054486,Africa,54.289,3876.76846
Swaziland,2002,1130269,Africa,43.869,4128.116943
Swaziland,2007,1133066,Africa,39.613,4513.480643
Sweden,1992,8718867,Europe,78.16,23880.01683
Sweden,1997,8897619,Europe,79.39,25266.59499
Sweden,2002,8954175,Europe,80.04,29341.63093
Sweden,2007,9031088,Europe,80.884,33859.74835
Switzerland,1992,6995447,Europe,78.03,31871.5303
Switzerland,1997,7193761,Europe,79.37,32135.32301
Switzerland,2002,7361757,Europe,80.62,34480.95771
Switzerland,2007,7554661,Europe,81.701,37506.41907
Syria,1992,13219062,Asia,69.249,3340.542768
Syria,1997,15081016,Asia,71.527,4014.238972
Syria,2002,17155814,Asia,73.053,4090.925331
Syria,2007,19314747,Asia,74.143,4184.548089
Taiwan,1992,20686918,Asia,74.26,15215.6579
Taiwan,1997,21628605,Asia,75.25,20206.82098
Taiwan,2002,22454239,Asia,76.99,23235.42329
Taiwan,2007,23174294,Asia,78.4,28718.27684
Tanzania,1992,26605473,Africa,50.44,825.682454
Tanzania,1997,30686889,Africa,48.466,789.1862231
Tanzania,2002,34593779,Africa,49.651,899.0742111
Tanzania,2007,38139640,Africa,52.517,1107.482182
Thailand,1992,56667095,Asia,67.298,4616.896545
Thailand,1997,60216677,Asia,67.521,5852.625497
Thailand,2002,62806748,Asia,68.564,5913.187529
Thailand,2007,65068149,Asia,70.616,7458.396327
Togo,1992,3747553,Africa,58.061,1034.298904
Togo,1997,4320890,Africa,58.39,982.2869243
Togo,2002,4977378,Africa,57.561,886.2205765
Togo,2007,5701579,Africa,58.42,882.9699438
Trinidad and Tobago,1992,1183669,Americas,69.862,7370.990932
Trinidad and Tobago,1997,1138101,Americas,69.465,8792.573126
Trinidad and Tobago,2002,1101832,Americas,68.976,11460.60023
Trinidad and Tobago,2007,1056608,Americas,69.819,18008.50924
Tunisia,1992,8523077,Africa,70.001,4332.720164
Tunisia,1997,9231669,Africa,71.973,4876.798614
Tunisia,2002,9770575,Africa,73.042,5722.895655
